Date,Contract,Delivery,Price
2026-03-01,KCH26.NYB,Mar ' 26,294.1000061035156
2026-05-01,KCK26.NYB,May ' 26,290.45001220703125
2026-07-01,KCN26.NYB,Jul ' 26,285.29998779296875
2026-09-01,KCU26.NYB,Sep ' 26,280.8500061035156
2026-12-01,KCZ26.NYB,Dec ' 26,276.6499938964844
2027-03-01,KCH27.NYB,Mar ' 27,273.6000061035156
2027-05-01,KCK27.NYB,May ' 27,271.3500061035156
2027-07-01,KCN27.NYB,Jul ' 27,268.1499938964844
2027-09-01,KCU27.NYB,Sep ' 27,265.1000061035156
2027-12-01,KCZ27.NYB,Dec ' 27,263.20001220703125
