Date,Contract,Delivery,Price
2026-03-01,SIH26.CMX,Mar ' 26,106.8499984741211
2026-05-01,SIK26.CMX,May ' 26,107.66000366210938
2026-07-01,SIN26.CMX,Jul ' 26,108.5199966430664
2026-09-01,SIU26.CMX,Sep ' 26,108.5
2026-12-01,SIZ26.CMX,Dec ' 26,110.16500091552734
2027-03-01,SIH27.CMX,Mar ' 27,111.19000244140625
2027-05-01,SIK27.CMX,May ' 27,105.67500305175781
2027-07-01,SIN27.CMX,Jul ' 27,106.16400146484375
2027-09-01,SIU27.CMX,Sep ' 27,106.64800262451172
2027-12-01,SIZ27.CMX,Dec ' 27,107.29900360107422
