Date,Contract,Delivery,Price
2026-05-01,HOK26.NYM,May ' 26,3.998199939727783
2026-06-01,HOM26.NYM,Jun ' 26,3.710200071334839
2026-07-01,HON26.NYM,Jul ' 26,3.1900999546051025
2026-08-01,HOQ26.NYM,Aug ' 26,3.074399948120117
2026-09-01,HOU26.NYM,Sep ' 26,2.9974000453948975
2026-10-01,HOV26.NYM,Oct ' 26,2.9303998947143555
2026-11-01,HOX26.NYM,Nov ' 26,2.859299898147583
2026-12-01,HOZ26.NYM,Dec ' 26,2.76990008354187
2027-01-01,HOF27.NYM,Jan ' 27,2.74429988861084
2027-02-01,HOG27.NYM,Feb ' 27,2.709399938583374
2027-03-01,HOH27.NYM,Mar ' 27,2.663100004196167
2027-04-01,HOJ27.NYM,Apr ' 27,2.6122000217437744
2027-05-01,HOK27.NYM,May ' 27,2.580699920654297
2027-06-01,HOM27.NYM,Jun ' 27,2.541800022125244
2027-07-01,HON27.NYM,Jul ' 27,2.5434000492095947
2027-08-01,HOQ27.NYM,Aug ' 27,2.5327000617980957
2027-09-01,HOU27.NYM,Sep ' 27,2.5271999835968018
2027-10-01,HOV27.NYM,Oct ' 27,2.5225000381469727
2027-11-01,HOX27.NYM,Nov ' 27,2.5143001079559326
2027-12-01,HOZ27.NYM,Dec ' 27,2.5025999546051025
